iter	Passed	Remaining
327	3449	7067
328	3460	7057
329	3470	7046
330	3480	7035
331	3490	7023
332	3500	7012
333	3510	7000
334	3520	6989
335	3530	6977
336	3540	6965
337	3550	6954
338	3560	6941
339	3570	6931
340	3580	6920
341	3590	6908
342	3601	6898
343	3612	6888
344	3622	6877
345	3632	6865
346	3642	6854
347	3652	6842
348	3661	6830
349	3671	6819
350	3682	6808
351	3692	6797
352	3702	6786
353	3712	6774
354	3722	6763
355	3733	6752
356	3743	6741
357	3753	6731
358	3764	6720
359	3773	6708
360	3784	6698
361	3794	6686
362	3804	6675
363	3814	6665
364	3825	6655
365	3836	6645
366	3847	6635
367	3857	6624
368	3867	6614
369	3878	6603
370	3888	6592
371	3898	6581
372	3908	6570
373	3919	6560
374	3929	6548
375	3939	6537
376	3950	6527
377	3960	6517
378	3971	6506
379	3981	6496
380	3991	6484
381	4001	6474
382	4012	6463
383	4027	6460
384	4039	6452
385	4050	6442
386	4061	6432
387	4070	6420
388	4080	6408
389	4089	6397
390	4100	6386
391	4109	6374
392	4119	6363
393	4129	6351
394	4139	6339
395	4149	6329
396	4159	6317
397	4169	6306
398	4179	6295
399	4189	6284
400	4199	6273
401	4209	6262
402	4220	6252
403	4230	6241
404	4241	6230
405	4251	6219
406	4260	6208
407	4270	6196
408	4280	6185
409	4290	6173
